Information: Updating design information... (UID-85)
 
****************************************
Report : timing
        -path full
        -delay max
        -max_paths 1
Design : BOOTHMUL_1
Version: S-2021.06-SP4
Date   : Thu Apr  3 08:35:20 2025
****************************************

Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

  Startpoint: Multiplier_2[0]
              (input port)
  Endpoint: result[63] (output port)
  Path Group: (none)
  Path Type: max

  Des/Clust/Port     Wire Load Model       Library
  ------------------------------------------------
  BOOTHMUL_1         5K_hvratio_1_1        NangateOpenCellLibrary

  Point                                                   Incr       Path
  --------------------------------------------------------------------------
  input external delay                                    0.00       0.00 f
  Multiplier_2[0] (in)                                    0.00       0.00 f
  U3908/ZN (INV_X2)                                       0.12       0.12 r
  U3753/ZN (NAND2_X2)                                     0.18       0.30 f
  U3816/ZN (AND2_X2)                                      0.14       0.44 f
  U4986/ZN (NOR2_X1)                                      0.09       0.53 r
  r595/B[0] (BOOTHMUL_1_DW01_add_30)                      0.00       0.53 r
  r595/U2/ZN (AND2_X1)                                    0.05       0.58 r
  r595/U1_1/CO (FA_X1)                                    0.07       0.64 r
  r595/U1_2/S (FA_X1)                                     0.11       0.75 f
  r595/SUM[2] (BOOTHMUL_1_DW01_add_30)                    0.00       0.75 f
  U5377/Z (MUX2_X1)                                       0.08       0.83 f
  r599/A[1] (BOOTHMUL_1_DW01_add_29)                      0.00       0.83 f
  r599/U1_1/CO (FA_X1)                                    0.11       0.93 f
  r599/U1_2/CO (FA_X1)                                    0.09       1.02 f
  r599/U1_3/CO (FA_X1)                                    0.09       1.11 f
  r599/U1_4/CO (FA_X1)                                    0.09       1.20 f
  r599/U1_5/CO (FA_X1)                                    0.09       1.30 f
  r599/U1_6/CO (FA_X1)                                    0.09       1.39 f
  r599/U1_7/CO (FA_X1)                                    0.09       1.48 f
  r599/U1_8/CO (FA_X1)                                    0.09       1.57 f
  r599/U1_9/CO (FA_X1)                                    0.09       1.66 f
  r599/U1_10/CO (FA_X1)                                   0.09       1.75 f
  r599/U1_11/CO (FA_X1)                                   0.09       1.84 f
  r599/U1_12/CO (FA_X1)                                   0.09       1.93 f
  r599/U1_13/CO (FA_X1)                                   0.09       2.02 f
  r599/U1_14/CO (FA_X1)                                   0.09       2.11 f
  r599/U1_15/CO (FA_X1)                                   0.09       2.20 f
  r599/U1_16/CO (FA_X1)                                   0.09       2.29 f
  r599/U1_17/CO (FA_X1)                                   0.09       2.38 f
  r599/U1_18/CO (FA_X1)                                   0.09       2.47 f
  r599/U1_19/CO (FA_X1)                                   0.09       2.56 f
  r599/U1_20/CO (FA_X1)                                   0.09       2.66 f
  r599/U1_21/CO (FA_X1)                                   0.09       2.75 f
  r599/U1_22/CO (FA_X1)                                   0.09       2.84 f
  r599/U1_23/CO (FA_X1)                                   0.09       2.93 f
  r599/U1_24/CO (FA_X1)                                   0.09       3.02 f
  r599/U1_25/CO (FA_X1)                                   0.09       3.11 f
  r599/U1_26/CO (FA_X1)                                   0.09       3.20 f
  r599/U1_27/CO (FA_X1)                                   0.09       3.29 f
  r599/U1_28/CO (FA_X1)                                   0.09       3.38 f
  r599/U1_29/CO (FA_X1)                                   0.09       3.47 f
