 
****************************************
Report : timing
        -path full
        -delay max
        -max_paths 1
Design : BOOTHMUL
Version: S-2021.06-SP4
Date   : Thu Apr  3 06:57:52 2025
****************************************

Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

  Startpoint: Multiplicand_1[1]
              (input port)
  Endpoint: result[62] (output port)
  Path Group: default
  Path Type: max

  Des/Clust/Port     Wire Load Model       Library
  ------------------------------------------------
  BOOTHMUL           5K_hvratio_1_1        NangateOpenCellLibrary

  Point                                                   Incr       Path
  --------------------------------------------------------------------------
  input external delay                                    0.00       0.00 f
  Multiplicand_1[1] (in)                                  0.00       0.00 f
  U7667/ZN (INV_X1)                                       0.03       0.03 r
  add_0_root_add_60_ni/A[1] (BOOTHMUL_DW01_inc_0)         0.00       0.03 r
  add_0_root_add_60_ni/U4/ZN (AND2_X1)                    0.05       0.07 r
  add_0_root_add_60_ni/U3/Z (XOR2_X1)                     0.08       0.15 r
  add_0_root_add_60_ni/SUM[2] (BOOTHMUL_DW01_inc_0)       0.00       0.15 r
  U7674/ZN (AND2_X2)                                      0.06       0.21 r
  r595/A[1] (BOOTHMUL_DW01_add_30)                        0.00       0.21 r
  r595/U4/ZN (NAND2_X1)                                   0.03       0.24 f
  r595/U3/ZN (NAND3_X1)                                   0.03       0.27 r
  r595/U1_2/S (FA_X1)                                     0.11       0.38 f
  r595/SUM[2] (BOOTHMUL_DW01_add_30)                      0.00       0.38 f
  U7678/ZN (NAND2_X1)                                     0.03       0.41 r
  U7677/ZN (NAND2_X1)                                     0.03       0.45 f
  r599/A[1] (BOOTHMUL_DW01_add_29)                        0.00       0.45 f
  r599/U5/ZN (NAND2_X1)                                   0.03       0.48 r
  r599/U3/ZN (NAND3_X1)                                   0.04       0.52 f
  r599/U1_2/CO (FA_X1)                                    0.09       0.61 f
  r599/U1_3/CO (FA_X1)                                    0.09       0.70 f
  r599/U1_4/S (FA_X1)                                     0.13       0.83 r
  r599/SUM[4] (BOOTHMUL_DW01_add_29)                      0.00       0.83 r
  U7818/ZN (NAND2_X1)                                     0.03       0.85 f
  U7691/ZN (NAND2_X1)                                     0.04       0.89 r
  r603/A[3] (BOOTHMUL_DW01_add_28)                        0.00       0.89 r
  r603/U1_3/S (FA_X1)                                     0.12       1.01 f
  r603/SUM[3] (BOOTHMUL_DW01_add_28)                      0.00       1.01 f
  U7686/ZN (NAND2_X1)                                     0.03       1.04 r
  U7685/ZN (NAND2_X1)                                     0.03       1.07 f
  r607/A[2] (BOOTHMUL_DW01_add_27)                        0.00       1.07 f
  r607/U1_2/CO (FA_X1)                                    0.09       1.16 f
  r607/U1_3/CO (FA_X1)                                    0.09       1.25 f
  r607/U1_4/CO (FA_X1)                                    0.09       1.34 f
  r607/U1_5/CO (FA_X1)                                    0.09       1.43 f
  r607/U1_6/S (FA_X1)                                     0.13       1.56 r
  r607/SUM[6] (BOOTHMUL_DW01_add_27)                      0.00       1.56 r
  U7760/ZN (NAND2_X1)                                     0.03       1.59 f
  U7759/ZN (NAND2_X1)                                     0.04       1.63 r
  r609/A[5] (BOOTHMUL_DW01_add_26)                        0.00       1.63 r
